name,status,species,gender,location,location_type,dimension,episode,air_date
Rick Sanchez,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S03E06,"August 27, 2017"
Rick Sanchez,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S03E07,"September 10, 2017"
Rick Sanchez,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S03E08,"September 17, 2017"
Rick Sanchez,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S03E09,"September 24, 2017"
Rick Sanchez,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S03E10,"October 1, 2017"
Rick Sanchez,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S04E01,"November 10, 2019"
Rick Sanchez,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S04E02,"November 17, 2019"
Rick Sanchez,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S04E03,"November 24, 2019"
Rick Sanchez,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S04E04,"December 8, 2019"
Rick Sanchez,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S04E05,"December 15, 2019"
Rick Sanchez,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S04E06,"May 3, 2020"
Rick Sanchez,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S04E07,"May 10, 2020"
Rick Sanchez,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S04E08,"May 17, 2020"
Rick Sanchez,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S04E09,"May 24, 2020"
Rick Sanchez,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S04E10,"May 31, 2020"
Rick Sanchez,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S05E01,"June 20, 2021"
Rick Sanchez,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S05E02,"June 27, 2021"
Rick Sanchez,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S05E03,"July 4, 2021"
Rick Sanchez,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S05E04,"July 11, 2021"
Rick Sanchez,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S05E05,"July 18, 2021"
Rick Sanchez,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S05E06,"July 25, 2021"
Rick Sanchez,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S05E07,"August 1, 2021"
Rick Sanchez,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S05E08,"August 8, 2021"
Rick Sanchez,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S05E09,"September 5, 2021"
Rick Sanchez,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S05E10,"September 5, 2021"
Morty Smith,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S01E01,"December 2, 2013"
Morty Smith,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S01E02,"December 9, 2013"
Morty Smith,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S01E03,"December 16, 2013"
Morty Smith,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S01E04,"January 13, 2014"
Morty Smith,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S01E05,"January 20, 2014"
Morty Smith,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S01E06,"January 27, 2014"
Morty Smith,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S01E07,"March 10, 2014"
Morty Smith,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S01E08,"March 17, 2014"
Morty Smith,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S01E09,"March 24, 2014"
Morty Smith,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S01E10,"April 7, 2014"
Morty Smith,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S01E11,"April 14, 2014"
Morty Smith,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S02E01,"July 26, 2015"
Morty Smith,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S02E02,"August 2, 2015"
Morty Smith,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S02E03,"August 9, 2015"
Morty Smith,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S02E04,"August 16, 2015"
Morty Smith,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S02E05,"August 23, 2015"
Morty Smith,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S02E06,"August 30, 2015"
Morty Smith,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S02E07,"September 13, 2015"
Morty Smith,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S02E08,"September 20, 2015"
Morty Smith,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S02E09,"September 27, 2015"
Morty Smith,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S02E10,"October 4, 2015"
Morty Smith,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S03E01,"April 1, 2017"
Morty Smith,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S03E02,"July 30, 2017"
Morty Smith,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S03E03,"August 6, 2017"
Morty Smith,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S03E04,"August 13, 2017"
Morty Smith,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S03E05,"August 20, 2017"
Morty Smith,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S03E06,"August 27, 2017"
Morty Smith,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S03E07,"September 10, 2017"
Morty Smith,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S03E08,"September 17, 2017"
Morty Smith,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S03E09,"September 24, 2017"
Morty Smith,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S03E10,"October 1, 2017"
Morty Smith,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S04E01,"November 10, 2019"
Morty Smith,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S04E02,"November 17, 2019"
Morty Smith,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S04E03,"November 24, 2019"
Morty Smith,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S04E04,"December 8, 2019"
Morty Smith,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S04E05,"December 15, 2019"
Morty Smith,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S04E06,"May 3, 2020"
Morty Smith,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S04E07,"May 10, 2020"
Morty Smith,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S04E08,"May 17, 2020"
Morty Smith,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S04E09,"May 24, 2020"
Morty Smith,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S04E10,"May 31, 2020"
Morty Smith,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S05E01,"June 20, 2021"
Morty Smith,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S05E02,"June 27, 2021"
Morty Smith,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S05E03,"July 4, 2021"
Morty Smith,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S05E04,"July 11, 2021"
Morty Smith,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S05E05,"July 18, 2021"
Morty Smith,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S05E06,"July 25, 2021"
Morty Smith,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S05E07,"August 1, 2021"
Morty Smith,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S05E08,"August 8, 2021"
Morty Smith,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S05E09,"September 5, 2021"
Morty Smith,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S05E10,"September 5, 2021"
Summer Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S01E06,"January 27, 2014"
Summer Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S01E07,"March 10, 2014"
Summer Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S01E08,"March 17, 2014"
Summer Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S01E09,"March 24, 2014"
Summer Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S01E10,"April 7, 2014"
Summer Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S01E11,"April 14, 2014"
Summer Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S02E01,"July 26, 2015"
Summer Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S02E03,"August 9, 2015"
Summer Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S02E04,"August 16, 2015"
Summer Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S02E05,"August 23, 2015"
Summer Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S02E06,"August 30, 2015"
Summer Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S02E07,"September 13, 2015"
Summer Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S02E08,"September 20, 2015"
Summer Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S02E09,"September 27, 2015"
Summer Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S02E10,"October 4, 2015"
Summer Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S03E01,"April 1, 2017"
Summer Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S03E02,"July 30, 2017"
Summer Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S03E03,"August 6, 2017"
Summer Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S03E04,"August 13, 2017"
Summer Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S03E05,"August 20, 2017"
Summer Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S03E06,"August 27, 2017"
Summer Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S03E08,"September 17, 2017"
Summer Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S03E09,"September 24, 2017"
Summer Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S03E10,"October 1, 2017"
Summer Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S04E01,"November 10, 2019"
Summer Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S04E02,"November 17, 2019"
Summer Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S04E03,"November 24, 2019"
Summer Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S04E04,"December 8, 2019"
Summer Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S04E05,"December 15, 2019"
Summer Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S04E07,"May 10, 2020"
Summer Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S04E08,"May 17, 2020"
Summer Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S04E09,"May 24, 2020"
Summer Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S04E10,"May 31, 2020"
Summer Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S05E01,"June 20, 2021"
Summer Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S05E02,"June 27, 2021"
Summer Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S05E03,"July 4, 2021"
Summer Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S05E04,"July 11, 2021"
Summer Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S05E05,"July 18, 2021"
Summer Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S05E06,"July 25, 2021"
Summer Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S05E07,"August 1, 2021"
Summer Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S05E08,"August 8, 2021"
Summer Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S05E10,"September 5, 2021"
Beth Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S01E06,"January 27, 2014"
Beth Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S01E07,"March 10, 2014"
Beth Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S01E08,"March 17, 2014"
Beth Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S01E09,"March 24, 2014"
Beth Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S01E10,"April 7, 2014"
Beth Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S01E11,"April 14, 2014"
Beth Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S02E01,"July 26, 2015"
Beth Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S02E03,"August 9, 2015"
Beth Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S02E04,"August 16, 2015"
Beth Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S02E05,"August 23, 2015"
Beth Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S02E07,"September 13, 2015"
Beth Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S02E08,"September 20, 2015"
Beth Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S02E09,"September 27, 2015"
Beth Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S02E10,"October 4, 2015"
Beth Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S03E01,"April 1, 2017"
Beth Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S03E02,"July 30, 2017"
Beth Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S03E03,"August 6, 2017"
Beth Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S03E04,"August 13, 2017"
Beth Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S03E05,"August 20, 2017"
Beth Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S03E06,"August 27, 2017"
Beth Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S03E07,"September 10, 2017"
Beth Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S03E08,"September 17, 2017"
Beth Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S03E09,"September 24, 2017"
Beth Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S03E10,"October 1, 2017"
Beth Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S04E01,"November 10, 2019"
Beth Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S04E02,"November 17, 2019"
Beth Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S04E03,"November 24, 2019"
Beth Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S04E04,"December 8, 2019"
Beth Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S04E05,"December 15, 2019"
Beth Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S04E07,"May 10, 2020"
Beth Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S04E08,"May 17, 2020"
Beth Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S04E09,"May 24, 2020"
Beth Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S04E10,"May 31, 2020"
Beth Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S05E01,"June 20, 2021"
Beth Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S05E02,"June 27, 2021"
Beth Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S05E03,"July 4, 2021"
Beth Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S05E04,"July 11, 2021"
Beth Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S05E05,"July 18, 2021"
Beth Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S05E06,"July 25, 2021"
Beth Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S05E07,"August 1, 2021"
Beth Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S05E08,"August 8, 2021"
Beth Smith,Alive,Human,Female,Earth (Replacement Dimension),Planet,Replacement Dimension,S05E10,"September 5, 2021"
Jerry Smith,Alive,Human,Male,Earth (Replacement Dimension),Planet,Replacement Dimension,S01E06,"January 27, 2014"
Jerry Smith,Alive,Human,Male,Earth (Replacement Dimension),Planet,Replacement Dimension,S01E07,"March 10, 2014"
Jerry Smith,Alive,Human,Male,Earth (Replacement Dimension),Planet,Replacement Dimension,S01E08,"March 17, 2014"
Jerry Smith,Alive,Human,Male,Earth (Replacement Dimension),Planet,Replacement Dimension,S01E09,"March 24, 2014"
Jerry Smith,Alive,Human,Male,Earth (Replacement Dimension),Planet,Replacement Dimension,S01E10,"April 7, 2014"
Jerry Smith,Alive,Human,Male,Earth (Replacement Dimension),Planet,Replacement Dimension,S01E11,"April 14, 2014"
Jerry Smith,Alive,Human,Male,Earth (Replacement Dimension),Planet,Replacement Dimension,S02E01,"July 26, 2015"
Jerry Smith,Alive,Human,Male,Earth (Replacement Dimension),Planet,Replacement Dimension,S02E02,"August 2, 2015"
Jerry Smith,Alive,Human,Male,Earth (Replacement Dimension),Planet,Replacement Dimension,S02E03,"August 9, 2015"
Jerry Smith,Alive,Human,Male,Earth (Replacement Dimension),Planet,Replacement Dimension,S02E04,"August 16, 2015"
Jerry Smith,Alive,Human,Male,Earth (Replacement Dimension),Planet,Replacement Dimension,S02E05,"August 23, 2015"
Jerry Smith,Alive,Human,Male,Earth (Replacement Dimension),Planet,Replacement Dimension,S02E07,"September 13, 2015"
Jerry Smith,Alive,Human,Male,Earth (Replacement Dimension),Planet,Replacement Dimension,S02E08,"September 20, 2015"
Jerry Smith,Alive,Human,Male,Earth (Replacement Dimension),Planet,Replacement Dimension,S02E09,"September 27, 2015"
Jerry Smith,Alive,Human,Male,Earth (Replacement Dimension),Planet,Replacement Dimension,S02E10,"October 4, 2015"
Jerry Smith,Alive,Human,Male,Earth (Replacement Dimension),Planet,Replacement Dimension,S03E01,"April 1, 2017"
Jerry Smith,Alive,Human,Male,Earth (Replacement Dimension),Planet,Replacement Dimension,S03E02,"July 30, 2017"
Jerry Smith,Alive,Human,Male,Earth (Replacement Dimension),Planet,Replacement Dimension,S03E05,"August 20, 2017"
Jerry Smith,Alive,Human,Male,Earth (Replacement Dimension),Planet,Replacement Dimension,S03E08,"September 17, 2017"
Jerry Smith,Alive,Human,Male,Earth (Replacement Dimension),Planet,Replacement Dimension,S03E09,"September 24, 2017"
Jerry Smith,Alive,Human,Male,Earth (Replacement Dimension),Planet,Replacement Dimension,S03E10,"October 1, 2017"
Jerry Smith,Alive,Human,Male,Earth (Replacement Dimension),Planet,Replacement Dimension,S04E01,"November 10, 2019"
Jerry Smith,Alive,Human,Male,Earth (Replacement Dimension),Planet,Replacement Dimension,S04E02,"November 17, 2019"
Jerry Smith,Alive,Human,Male,Earth (Replacement Dimension),Planet,Replacement Dimension,S04E04,"December 8, 2019"
Jerry Smith,Alive,Human,Male,Earth (Replacement Dimension),Planet,Replacement Dimension,S04E05,"December 15, 2019"
Jerry Smith,Alive,Human,Male,Earth (Replacement Dimension),Planet,Replacement Dimension,S04E07,"May 10, 2020"
Jerry Smith,Alive,Human,Male,Earth (Replacement Dimension),Planet,Replacement Dimension,S04E08,"May 17, 2020"
Jerry Smith,Alive,Human,Male,Earth (Replacement Dimension),Planet,Replacement Dimension,S04E09,"May 24, 2020"
Jerry Smith,Alive,Human,Male,Earth (Replacement Dimension),Planet,Replacement Dimension,S04E10,"May 31, 2020"
Jerry Smith,Alive,Human,Male,Earth (Replacement Dimension),Planet,Replacement Dimension,S05E01,"June 20, 2021"
Jerry Smith,Alive,Human,Male,Earth (Replacement Dimension),Planet,Replacement Dimension,S05E02,"June 27, 2021"
Jerry Smith,Alive,Human,Male,Earth (Replacement Dimension),Planet,Replacement Dimension,S05E03,"July 4, 2021"
Jerry Smith,Alive,Human,Male,Earth (Replacement Dimension),Planet,Replacement Dimension,S05E04,"July 11, 2021"
Jerry Smith,Alive,Human,Male,Earth (Replacement Dimension),Planet,Replacement Dimension,S05E05,"July 18, 2021"
Jerry Smith,Alive,Human,Male,Earth (Replacement Dimension),Planet,Replacement Dimension,S05E06,"July 25, 2021"
Jerry Smith,Alive,Human,Male,Earth (Replacement Dimension),Planet,Replacement Dimension,S05E07,"August 1, 2021"
Jerry Smith,Alive,Human,Male,Earth (Replacement Dimension),Planet,Replacement Dimension,S05E08,"August 8, 2021"
Jerry Smith,Alive,Human,Male,Earth (Replacement Dimension),Planet,Replacement Dimension,S05E09,"September 5, 2021"
Jerry Smith,Alive,Human,Male,Earth (Replacement Dimension),Planet,Replacement Dimension,S05E10,"September 5, 2021"
Abadango Cluster Princess,Alive,Alien,Female,Abadango,Cluster,unknown,S03E06,"August 27, 2017"
Abradolf Lincler,unknown,Human,Male,Testicle Monster Dimension,Dimension,Testicle Monster Dimension,S01E10,"April 7, 2014"
Abradolf Lincler,unknown,Human,Male,Testicle Monster Dimension,Dimension,Testicle Monster Dimension,S01E11,"April 14, 2014"
Adjudicator Rick,Dead,Human,Male,Citadel of Ricks,Space station,unknown,S03E07,"September 10, 2017"
Agency Director,Dead,Human,Male,Earth (Replacement Dimension),Planet,Replacement Dimension,S03E03,"August 6, 2017"
Alan Rails,Dead,Human,Male,Worldender's lair,Planet,unknown,S03E04,"August 13, 2017"
Albert Einstein,Dead,Human,Male,Earth (Replacement Dimension),Planet,Replacement Dimension,S02E01,"July 26, 2015"
Alexander,Dead,Human,Male,Anatomy Park,Microverse,Dimension C-137,S01E03,"December 16, 2013"
Alien Googah,unknown,Alien,unknown,Earth (Replacement Dimension),Planet,Replacement Dimension,S03E10,"October 1, 2017"
Alien Morty,unknown,Alien,Male,Citadel of Ricks,Space station,unknown,S01E10,"April 7, 2014"
Alien Rick,unknown,Alien,Male,Citadel of Ricks,Space station,unknown,S01E10,"April 7, 2014"
Amish Cyborg,Dead,Alien,Male,Earth (Replacement Dimension),Planet,Replacement Dimension,S02E04,"August 16, 2015"
Annie,Alive,Human,Female,Anatomy Park,Microverse,Dimension C-137,S01E03,"December 16, 2013"
Antenna Morty,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S01E10,"April 7, 2014"
Antenna Morty,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S03E07,"September 10, 2017"
Ants in my Eyes Johnson,unknown,Human,Male,Interdimensional Cable,TV,unknown,S01E08,"March 17, 2014"
Aqua Morty,unknown,Humanoid,Male,Citadel of Ricks,Space station,unknown,S01E10,"April 7, 2014"
Aqua Morty,unknown,Humanoid,Male,Citadel of Ricks,Space station,unknown,S03E01,"April 1, 2017"
Aqua Rick,unknown,Humanoid,Male,Citadel of Ricks,Space station,unknown,S01E10,"April 7, 2014"
Aqua Rick,unknown,Humanoid,Male,Citadel of Ricks,Space station,unknown,S03E01,"April 1, 2017"
Aqua Rick,unknown,Humanoid,Male,Citadel of Ricks,Space station,unknown,S03E07,"September 10, 2017"
Arcade Alien,unknown,Alien,Male,Immortality Field Resort,Resort,unknown,S02E02,"August 2, 2015"
Arcade Alien,unknown,Alien,Male,Immortality Field Resort,Resort,unknown,S02E08,"September 20, 2015"
Arcade Alien,unknown,Alien,Male,Immortality Field Resort,Resort,unknown,S02E10,"October 4, 2015"
Arcade Alien,unknown,Alien,Male,Immortality Field Resort,Resort,unknown,S03E04,"August 13, 2017"
Arcade Alien,unknown,Alien,Male,Immortality Field Resort,Resort,unknown,S03E05,"August 20, 2017"
Armagheadon,Alive,Alien,Male,Signus 5 Expanse,unknown,Cromulon Dimension,S02E05,"August 23, 2015"
Armothy,Dead,unknown,Male,Post-Apocalyptic Earth,Planet,Post-Apocalyptic Dimension,S03E02,"July 30, 2017"
